# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "8" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "count.txt" "SRR13978643Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13978643Aligned.sortedByCoord.out.bam
YMR290W-A	XIII	851422	851769	+	348	6
YMR095C	XIII	457285	457959	-	675	55
snR83	XIII	626349	626654	+	306	401
snR73	XIII	298307	298412	+	106	0
tH(GUG)M	XIII	363064	363135	+	72	3
YMR099C	XIII	463934	464827	-	894	667
YMR132C	XIII	534944	535570	-	627	36
YML115C	XIII	40187	41794	-	1608	194
snR11	XIII	652275	652532	+	258	88
YMR086W	XIII	439208	442090	+	2883	223
YMR044W	XIII	355384	356811	+	1428	83
YMR222C	XIII	715638	716309	-	672	135
YMR272W-A	XIII	810466	810579	+	114	0
YMR321C	XIII	917579	917896	-	318	10
YML131W	XIII	10198	11295	+	1098	116
YML038C	XIII	202775	204103	-	1329	200
YML122C	XIII	26038	26418	-	381	16
YMR036C	XIII	341856	343520	-	1665	87
YML012W	XIII	246116	246751	+	636	221
YML100W	XIII	70624	73920	+	3297	1397
YMR312W	XIII	898405	899226	+	822	79
YML112W	XIII	45063	45953	+	891	105
YML099C	XIII	74398	77040	-	2643	96
YML123C	XIII	24037	25800	-	1764	263
tV(AAC)M3	XIII	586636	586709	-	74	0
YMR141C	XIII	549736	550044	-	309	68
YMR324C	XIII	922202	922444	-	243	0
YMR207C	XIII	677193	683564	-	6372	108
YMR236W	XIII	742971	743444	+	474	88
YML034C-A	XIII	209428	209826	-	399	1
YMR204C	XIII	670063	671325	-	1263	91
YMR011W	XIII	288079	289704	+	1626	357
YML008C	XIII	251839	252990	-	1152	758
YMR109W	XIII	486587	490246	+	3660	474
YMR004W	XIII	274017	275552	+	1536	191
YMR158C-A	XIII	573194	573331	-	138	12
YMR216C	XIII	698811	701039	-	2229	275
YMR159C	XIII	574476	574928	-	453	0
YMR307C-A	XIII	887731	887925	-	195	0
YMR272C	XIII	809623	810777	-	1155	1282
YMR106C	XIII	478301	480190	-	1890	31
YML092C	XIII	85987	86739	-	753	478
tV(AAC)M2	XIII	420588	420661	-	74	5
YML104C	XIII	58939	62322	-	3384	124
YML058W	XIII	159383	159697	+	315	899
tW(CCA)M	XIII;XIII	379303;379373	379338;379408	-;-	72	0
YMR148W	XIII	560366	560812	+	447	167
YMR168C	XIII	597332	599158	-	1827	81
YML063W	XIII	146482	147249	+	768	4721
YMR008C	XIII	280590	282584	-	1995	722
YMR294W-A	XIII	858209	858568	+	360	15
YMR177W	XIII	616566	618098	+	1533	47
YMR213W	XIII	693381	695153	+	1773	100
YMR192W	XIII	647118	649280	+	2163	104
YMR326C	XIII	923494	923802	-	309	0
YMR014W	XIII	298868	300427	+	1560	64
YMR020W	XIII	315377	316903	+	1527	168
snR86	XIII	762110	763113	-	1004	143
YMR208W	XIII	684467	685798	+	1332	295
YML098W	XIII	77267	77770	+	504	103
YMR133W	XIII;XIII	536207;537565	537448;537609	+;+	1287	60
YML028W	XIII	220138	220728	+	591	2111
YMR285C	XIII	840144	841691	-	1548	150
YMR040W	XIII	350381	350863	+	483	14
YMR094W	XIII	455825	457261	+	1437	17
YMR189W	XIII	637500	640604	+	3105	855
YML128C	XIII	15135	16676	-	1542	766
YML022W	XIII	228937	229500	+	564	202
YMR299C	XIII	864412	865350	-	939	79
YMR227C	XIII	722613	724385	-	1773	99
YMR119W	XIII	505333	507207	+	1875	227
YMR255W	XIII	778001	778567	+	567	172
YMR024W	XIII	321875	323047	+	1173	118
YML054C	XIII	165533	167308	-	1776	39
YMR317W	XIII	907364	910786	+	3423	47
YMR084W	XIII	436628	437416	+	789	19
YMR274C	XIII	814364	815311	-	948	37
YMR215W	XIII	696796	698370	+	1575	328
YMR277W	XIII	820256	822454	+	2199	214
YMR033W	XIII;XIII	337788;337904	337817;339277	+;+	1404	191
YML094C-A	XIII	82219	82620	-	402	0
YML041C	XIII	194913	195755	-	843	49
YMR305C	XIII	879063	880232	-	1170	1285
YMR315W-A	XIII	904286	904393	+	108	3
YMR237W	XIII	743749	745923	+	2175	243
YML095C	XIII	81481	82113	-	633	26
YMR018W	XIII	310208	311752	+	1545	11
YMR163C	XIII	584271	586388	-	2118	37
YML027W	XIII	221406	222563	+	1158	146
ZOD1	XIII	91970	92027	+	58	0
tD(GUC)M	XIII	463554	463625	+	72	2
YMR162C	XIII	578951	583921	-	4971	138
YMR158W	XIII	572248	572715	+	468	54
YMR210W	XIII	687516	688865	+	1350	187
YMR316C-A	XIII	905662	905973	-	312	2
YMR241W	XIII	751961	752905	+	945	472
YMR205C	XIII	671887	674766	-	2880	1668
YMR235C	XIII	741512	742735	-	1224	385
YMR047C	XIII	363364	366705	-	3342	266
YMR259C	XIII	784621	788883	-	4263	116
YMR175W-A	XIII	611314	611508	+	195	1
YMR281W	XIII	832339	833253	+	915	164
YMR261C	XIII	790205	793369	-	3165	479
YMR026C	XIII	324236	325435	-	1200	95
YML010W	XIII	247677	250868	+	3192	263
YMR150C	XIII	561956	562528	-	573	26
YMR067C	XIII	404323	405573	-	1251	150
YMR179W	XIII	619858	622134	+	2277	72
YMR126C	XIII	520761	521789	-	1029	117
YML032C	XIII	212515	213930	-	1416	200
YML018C	XIII	234771	235952	-	1182	201
YML081W	XIII	104777	108532	+	3756	230
YMR003W	XIII	273118	273714	+	597	69
YMR221C	XIII	713931	715445	-	1515	170
YMR257C	XIII	779629	782031	-	2403	71
YML068W	XIII	137550	138944	+	1395	51
YMR117C	XIII	501250	501891	-	642	21
YMR060C	XIII	391532	392515	-	984	71
YMR144W	XIII	553362	554390	+	1029	68
YMR068W	XIII	406304	407584	+	1281	37
YML097C	XIII	78335	79690	-	1356	58
YMR182C	XIII	624532	625167	-	636	68
YMR295C	XIII	858297	858890	-	594	303
YMR181C	XIII	623616	624080	-	465	450
YML080W	XIII	108806	110077	+	1272	39
YMR194C-B	XIII;XIII	652594;652848	652775;652887	-;-	222	35
YMR140W	XIII	547714	549183	+	1470	117
YMR058W	XIII	388822	390732	+	1911	317
YMR076C	XIII	416196	420029	-	3834	77
YMR239C	XIII	748262	749677	-	1416	27
tG(GCC)M	XIII	183898	183968	-	71	1
YMR242C	XIII	753225	753742	-	518	2490
YMR306C-A	XIII	886183	886572	-	390	3
YMR193C-A	XIII	651072	651458	-	387	81
YMR114C	XIII	496343	497449	-	1107	85
YMR009W	XIII	284102	284641	+	540	112
YMR088C	XIII	443414	445102	-	1689	139
YMR253C	XIII	775946	777190	-	1245	92
YMR103C	XIII	472902	473264	-	363	52
YMR254C	XIII	777615	777923	-	309	3
YMR303C	XIII	873291	874337	-	1047	39
YMR316W	XIII	904825	905835	+	1011	50
YML017W	XIII;XIII	236588;236954	236591;238731	+;+	1782	265
YMR104C	XIII	473420	475453	-	2034	110
YMR309C	XIII	892988	895426	-	2439	495
YML133W-A	XIII	1610	2185	+	576	0
YMR155W	XIII	568551	570194	+	1644	98
YMR313C	XIII	899379	901307	-	1929	162
YMR028W	XIII	327482	328582	+	1101	65
snR72	XIII	298554	298651	+	98	2
YMR154C	XIII	565999	568182	-	2184	45
tY(GUA)M1	XIII;XIII	168795;168848	168833;168883	+;+	75	0
snR75	XIII	297918	298006	+	89	2
YML096W	XIII	79909	81486	+	1578	58
YML016C	XIII	239458	241536	-	2079	160
YML006C	XIII	256092	258416	-	2325	159
YMR178W	XIII	618479	619303	+	825	256
YML109W	XIII	51640	54468	+	2829	52
YML015C	XIII	241989	243029	-	1041	102
YMR197C	XIII	658545	659198	-	654	104
YML014W	XIII	243225	244064	+	840	72
YML106W	XIII	56773	57453	+	681	802
YML025C	XIII;XIII	224406;225339	225239;225365	-;-	861	167
tS(AGA)M	XIII	259158	259239	-	82	0
YMR172C-A	XIII	607828	608211	-	384	2
YMR193W	XIII	650036	650812	+	777	92
YML052W	XIII	170402	171310	+	909	573
YML079W	XIII	110247	110852	+	606	165
YML101C-A	XIII	69409	69726	-	318	0
YML047C	XIII	180017	181075	-	1059	3
YMR174C	XIII	610159	610365	-	207	28
YMR218C	XIII	703579	706887	-	3309	107
YMR315W	XIII	902800	903849	+	1050	1132
YMR001C	XIII	269019	271136	-	2118	279
tV(AAC)M1	XIII	372445	372518	-	74	0
tE(UUC)M	XIII	290801	290872	+	72	0
YML121W	XIII	26930	27862	+	933	97
YMR085W	XIII	437491	438789	+	1299	48
YMR105W-A	XIII	478064	478258	+	195	8
YMR122C	XIII	510701	511075	-	375	15
snR78	XIII	297278	297364	+	87	2
YMR217W	XIII	701790	703367	+	1578	1240
tA(AGC)M2	XIII	768369	768441	-	73	1
YMR298W	XIII	863819	864271	+	453	83
YMR057C	XIII	388359	388730	-	372	6
YML042W	XIII	192788	194800	+	2013	77
YMR320W	XIII	916746	917051	+	306	57
YMR287C	XIII	842436	845345	-	2910	84
YMR289W	XIII	848685	849809	+	1125	99
YML048W	XIII	178426	179637	+	1212	511
YMR250W	XIII	770801	772558	+	1758	855
YMR230W-A	XIII	733268	733456	+	189	0
YMR124W	XIII	514456	517287	+	2832	196
YMR311C	XIII	896914	897603	-	690	589
snR77	XIII	297506	297593	+	88	3
YMR322C	XIII	918366	919079	-	714	0
YML119W	XIII	30611	31684	+	1074	162
YML043C	XIII	190244	191767	-	1524	54
YML046W	XIII	181474	183363	+	1890	90
YML004C	XIII	261705	262685	-	981	391
YMR071C	XIII	410762	411265	-	504	152
YMR229C	XIII	725934	731123	-	5190	237
YMR063W	XIII	397077	397796	+	720	31
YMR301C	XIII	867555	869627	-	2073	198
YMR276W	XIII	818827	819948	+	1122	644
YMR002W	XIII	272193	272663	+	471	767
YML081C-A	XIII	103983	104162	-	180	206
YML019W	XIII	233457	234455	+	999	113
YMR176W	XIII	611740	615975	+	4236	151
YMR158W-B	XIII	574471	574791	+	321	0
YML108W	XIII	54793	55110	+	318	8
YMR198W	XIII	659745	661529	+	1785	48
YML094W	XIII;XIII	82275;82374	82290;82849	+;+	492	99
YMR006C	XIII	277561	279681	-	2121	360
YML003W	XIII	263483	264355	+	873	18
YML057C-A	XIII	160023	160412	-	390	1
YML009C-A	XIII	250675	251001	-	327	4
tQ(CUG)M	XIII	808246	808317	-	72	0
YML093W	XIII	83090	85789	+	2700	109
YMR116C	XIII;XIII	499456;500152	499878;500688	-;-	960	1696
YMR196W	XIII	655076	658342	+	3267	340
YML053C	XIII	169116	169754	-	639	171
YMR151W	XIII	562506	562943	+	438	9
YML009C	XIII	251304	251516	-	213	61
YMR070W	XIII	409154	410626	+	1473	347
YMR219W	XIII	707133	712109	+	4977	272
YML037C	XIII	204386	205408	-	1023	21
YMR280C	XIII	827028	831329	-	4302	41
YMR170C	XIII	601562	603082	-	1521	101
YMR123W	XIII	513593	513961	+	369	125
YML012C-A	XIII	245537	245914	-	378	6
YMR019W	XIII	312156	315005	+	2850	185
YMR206W	XIII	675896	676837	+	942	29
YMR165C	XIII	590040	592628	-	2589	215
YMR010W	XIII	285100	286317	+	1218	127
YMR184W	XIII	628189	628785	+	597	68
YML126C	XIII	19060	20535	-	1476	476
YMR244W	XIII	757250	758317	+	1068	1
YMR279C	XIII	824729	826351	-	1623	93
YMR316C-B	XIII	907321	907629	-	309	3
YMR107W	XIII	483014	483361	+	348	1
YML054C-A	XIII	167623	167781	-	159	8
YMR043W	XIII	353871	354731	+	861	620
tA(AGC)M1	XIII	321147	321219	-	73	0
YMR270C	XIII	805326	806423	-	1098	139
YMR175W	XIII	611016	611255	+	240	7
YML009W-B	XIII	250435	250911	+	477	0
YMR035W	XIII	341142	341675	+	534	53
YMR108W	XIII	484084	486147	+	2064	473
YML002W	XIII	264541	266754	+	2214	124
YML111W	XIII	46942	49704	+	2763	200
YMR278W	XIII	822763	824631	+	1869	140
YMR185W	XIII	629025	631970	+	2946	35
YMR304C-A	XIII	878780	879130	-	351	54
YML084W	XIII	99489	99797	+	309	0
YMR258C	XIII	782620	784281	-	1662	147
YMR023C	XIII	319437	321017	-	1581	48
YMR291W	XIII	852630	854390	+	1761	413
YMR041C	XIII	350966	351973	-	1008	56
YMR029C	XIII	328660	330231	-	1572	102
YMR092C	XIII	451632	453479	-	1848	288
YMR138W	XIII	545155	545730	+	576	37
YMR122W-A	XIII	511315	511569	+	255	408
YMR053C	XIII	380346	382898	-	2553	81
YMR220W	XIII	712316	713671	+	1356	278
YMR087W	XIII	442527	443381	+	855	56
YML031W	XIII	214189	216156	+	1968	204
YML118W	XIII	32334	33851	+	1518	28
YML120C	XIII	28266	29807	-	1542	423
YMR078C	XIII	422503	424728	-	2226	82
tL(CAA)M	XIII;XIII	504895;504965	504932;505008	+;+	82	0
YMR042W	XIII	352603	353136	+	534	90
YMR251W	XIII	772915	774015	+	1101	32
YMR223W	XIII	716715	718130	+	1416	38
YML007C-A	XIII	253162	253272	-	111	2
YMR256C	XIII	778945	779127	-	183	143
YMR214W	XIII	695350	696483	+	1134	125
tP(UGG)M	XIII;XIII	196068;196135	196103;196170	-;-	72	0
YMR055C	XIII	386101	387021	-	921	34
YML117W	XIII	34243	37647	+	3405	450
YMR271C	XIII	806865	807548	-	684	72
snR24	XIII	499984	500072	-	89	1
YMR226C	XIII	721593	722396	-	804	779
YML110C	XIII	50031	50954	-	924	297
YML047W-A	XIII	179893	180258	+	366	0
YML007W	XIII	253848	255800	+	1953	354
YMR190C	XIII	640915	645258	-	4344	94
YMR225C	XIII;XIII	720960;721346	721198;721403	-;-	297	62
YMR264W	XIII	795805	796416	+	612	178
YMR037C	XIII	344403	346517	-	2115	276
YML024W	XIII;XIII	225889;226290	225891;226697	+;+	411	1681
YML083C	XIII	99794	101050	-	1257	9
YMR182W-A	XIII	625811	625897	+	87	34
YMR030W	XIII	330793	331923	+	1131	63
YMR187C	XIII	634689	635984	-	1296	30
YMR238W	XIII	746353	747729	+	1377	176
YML061C	XIII	148953	151532	-	2580	115
YMR130W	XIII	532119	533027	+	909	149
YMR005W	XIII	276045	277211	+	1167	185
YMR054W	XIII	383303	385975	+	2673	270
YMR209C	XIII	685911	687284	-	1374	105
YML102W	XIII	68294	69700	+	1407	68
YMR194W	XIII;XIII	651145;651624	651160;651910	+;+	303	355
YMR252C	XIII	775315	775719	-	405	166
YMR164C	XIII	587274	589550	-	2277	129
YMR074C	XIII	413036	413473	-	438	110
YML065W	XIII	142210	144954	+	2745	79
YMR243C	XIII	754838	756166	-	1329	544
snR85	XIII	67768	67938	-	171	15
YMR145C	XIII	554793	556475	-	1683	698
YML071C	XIII	129749	131572	-	1824	132
YMR015C	XIII	300869	302485	-	1617	249
YML070W	XIII	133475	135229	+	1755	345
YMR125W	XIII;XIII	517539;517886	517563;520446	+;+	2586	251
YMR325W	XIII	922641	923015	+	375	0
YMR141W-A	XIII	550911	551135	+	225	2
YML072C	XIII	124730	129367	-	4638	726
YML105C	XIII	57866	58687	-	822	338
YMR119W-A	XIII	506996	507370	+	375	41
YMR069W	XIII	407709	408566	+	858	3
YMR293C	XIII	855399	856793	-	1395	68
YML124C	XIII;XIII	22048;23659	23360;23683	-;-	1338	278
YMR090W	XIII	449245	449928	+	684	113
YML029W	XIII	217362	219878	+	2517	183
YMR171C	XIII	603868	605520	-	1653	397
YMR102C	XIII	469848	472352	-	2505	122
YMR188C	XIII	636291	637004	-	714	88
YMR269W	XIII	804456	805091	+	636	18
YMR128W	XIII	523696	527499	+	3804	93
YMR039C	XIII	348644	349522	-	879	265
YMR230W	XIII;XIII	732414;732876	732465;733141	+;+	318	1423
YMR267W	XIII	801772	802704	+	933	79
YMR247C	XIII	763351	768039	-	4689	186
YMR152W	XIII	563096	564193	+	1098	248
YMR251W-A	XIII	774752	774931	+	180	2704
YMR146C	XIII	557481	558524	-	1044	1125
YMR228W	XIII	724626	725651	+	1026	41
YMR032W	XIII	335298	337307	+	2010	99
YMR013C-A	XIII	296471	296620	-	150	0
YMR001C-A	XIII	271347	271577	-	231	0
YMR031W-A	XIII	334709	335035	+	327	0
YMR153W	XIII	564435	565862	+	1428	112
YMR056C	XIII	387315	388244	-	930	32
YMR282C	XIII	833356	835098	-	1743	41
YMR234W	XIII	740266	741312	+	1047	93
YMR323W	XIII	920088	921401	+	1314	0
YMR062C	XIII	395054	396379	-	1326	490
YMR247W-A	XIII	769283	769426	+	144	3
YMR038C	XIII	347511	348260	-	750	470
YMR049C	XIII	368094	370517	-	2424	160
YMR272W-B	XIII	811089	811196	+	108	1
YMR147W	XIII	559199	559870	+	672	31
YML067C	XIII;XIII	139063;140184	140090;140214	-;-	1059	152
tK(CUU)M	XIII	480621	480693	-	73	2
tR(UCU)M1	XIII	747892	747963	-	72	3
YML107C	XIII	55265	56269	-	1005	52
snR54	XIII	163535	163620	-	86	3
YMR231W	XIII	733545	736634	+	3090	175
YMR081C	XIII	430079	431095	-	1017	271
YML051W	XIII	171594	172901	+	1308	242
YMR314W	XIII	901709	902413	+	705	209
YMR113W	XIII	494999	496282	+	1284	54
YML031C-A	XIII	214086	214421	-	336	0
YMR263W	XIII	794919	795524	+	606	223
YML034W	XIII;XIII	209525;211571	211444;212155	+;+	2505	156
YMR131C	XIII	533163	534698	-	1536	238
YMR310C	XIII	895716	896669	-	954	97
YMR034C	XIII	339418	340722	-	1305	13
YML103C	XIII	62582	67549	-	4968	338
YMR306W	XIII	881159	886516	+	5358	40
YMR169C	XIII	599352	600872	-	1521	157
YMR186W	XIII	632355	634472	+	2118	1432
YML059C	XIII	153219	158258	-	5040	137
YML086C	XIII	95791	97371	-	1581	236
YMR013C	XIII	295179	296738	-	1560	55
YMR127C	XIII	522329	523345	-	1017	46
YMR153C-A	XIII	565574	565909	-	336	8
YMR212C	XIII	690695	693043	-	2349	146
YMR296C	XIII	859215	860891	-	1677	844
YMR101C	XIII	468445	469476	-	1032	1
YMR166C	XIII	593367	594473	-	1107	99
YMR061W	XIII	392755	394788	+	2034	181
YMR288W	XIII	845571	848486	+	2916	81
YMR265C	XIII	796540	797925	-	1386	164
YML116W	XIII	38196	39824	+	1629	71
YML130C	XIII	11483	13174	-	1692	148
YMR273C	XIII	811233	813980	-	2748	244
YMR292W	XIII;XIII	854795;854899	854816;855293	+;+	417	149
YMR137C	XIII	542978	544963	-	1986	59
YMR013W-A	XIII	298311	298391	+	81	0
YML076C	XIII	112513	115347	-	2835	238
YMR082C	XIII	431769	432125	-	357	4
tR(UCU)M2	XIII	131825	131896	-	72	0
YMR022W	XIII	318680	319177	+	498	278
YML062C	XIII	147505	148683	-	1179	132
YMR086C-A	XIII	442026	442364	-	339	27
YML035C	XIII	206428	208860	-	2433	170
YMR173W	XIII	608689	609981	+	1293	344
YMR194C-A	XIII	652912	653136	-	225	4
YMR093W	XIII	454015	455556	+	1542	108
YML036W	XIII;XIII	205642;206204	206097;206293	+;+	546	110
YMR307W	XIII	887003	888682	+	1680	3315
YML116W-A	XIII	37472	37774	+	303	37
YMR021C	XIII	317165	318418	-	1254	108
YMR135C	XIII	538689	540056	-	1368	214
YMR121C	XIII	509734	510348	-	615	152
YMR129W	XIII	527804	531817	+	4014	264
YML066C	XIII	140424	141533	-	1110	28
YMR045C	XIII	357359	362627	-	5269	122
YMR050C	XIII	373057	378325	-	5269	7
YML045W	XIII	184461	189729	+	5269	1
YML040W	XIII	196628	197950	+	1323	0
YML045W-A	XIII	184461	185783	+	1323	0
YMR046C	XIII	361305	362627	-	1323	0
YMR051C	XIII	377003	378325	-	1323	0
YML039W	XIII	196628	201896	+	5269	0
YBR225W	II	670627	673329	+	2703	123
YBR182C-A	II	595361	595555	-	195	2
YBL055C	II	115573	116829	-	1257	71
YBR293W	II	787006	788430	+	1425	88
YBR223W-A	II	668721	668840	+	120	0
YBR115C	II	469748	473926	-	4179	1645
YBR031W	II	300166	301254	+	1089	3721
YBL108C-A	II	7605	7733	-	129	1
YBR116C	II	474199	474726	-	528	0
YBR241C	II	702589	704055	-	1467	278
YBR182C	II	593506	594864	-	1359	25
YBR134W	II	504243	504644	+	402	1
YBL037W	II	147209	150286	+	3078	114
YBR019C	II	276253	278352	-	2100	31
YBR022W	II	283738	284271	+	534	64
YBR121C-A	II	482326	482484	-	159	0
YBR119W	II;II	479338;479435	479345;480323	+;+	897	104
YBL022C	II	177874	181275	-	3402	335
snR161	II	307185	307345	-	161	2
YBR243C	II	705447	706793	-	1347	155
YBR234C	II	685438	686592	-	1155	748
YBR179C	II	586547	589114	-	2568	143
YBR247C	II	713004	714455	-	1452	65
YBR124W	II	486507	486866	+	360	0
YBL086C	II	61202	62602	-	1401	262
YBL065W	II	99963	100307	+	345	0
YBR227C	II	673572	675134	-	1563	137
YBR218C	II	658707	662249	-	3543	1459
YBR244W	II	707528	708016	+	489	31
YBR160W	II	560078	560974	+	897	150
YBL080C	II	73070	74695	-	1626	59
YBR083W	II	409169	410629	+	1461	245
YBR294W	II	789235	791814	+	2580	100
tI(AAU)B	II	197494	197567	+	74	0
YBR091C	II	427155	427484	-	330	29
YBR284W	II	771239	773632	+	2394	20
YBR158W	II	556549	558198	+	1650	846
YBR111W-A	II;II;II	462139;462290;462500	462209;462429;462579	+;+;+	291	79
YBL071C	II	90223	90531	-	309	19
YBR126W-B	II	490927	491070	+	144	2
YBR229C	II	676357	679221	-	2865	202
YBR042C	II	320416	321609	-	1194	81
YBR150C	II	541209	544493	-	3285	133
YBR298C	II	802631	804475	-	1845	74
YBR143C	II	530869	532182	-	1314	722
YBR014C	II	266725	267336	-	612	124
tS(AGA)B	II	227075	227156	+	82	1
YBR259W	II	730387	732453	+	2067	50
YBR060C	II	360652	362514	-	1863	160
YBR180W	II	589741	591459	+	1719	4
YBL034C	II	153848	158389	-	4542	77
YBR212W	II	647886	649904	+	2019	364
YBR071W	II	380411	381046	+	636	99
YBL074C	II	86722	87789	-	1068	17
YBL107C	II	9961	10551	-	591	54
YBR097W	II	436951	441315	+	4365	62
YBR136W	II	505668	512774	+	7107	87
YBR039W	II	315575	316510	+	936	1077
YBL089W	II	49574	50953	+	1380	102
YBL067C	II	93639	95882	-	2244	138
YBR270C	II	742761	744398	-	1638	75
YBR087W	II	423765	424829	+	1065	198
YBR121C	II	481364	483367	-	2004	1662
YBR026C	II	292877	294019	-	1143	248
YBR197C	II	615203	615856	-	654	89
YBR027C	II	294024	294356	-	333	2
YBR177C	II	584807	586162	-	1356	609
YBR176W	II	583720	584658	+	939	40
YBR230W-A	II	680362	680562	+	201	34
YBR090C	II;II	426333;426874	426516;427058	-;-	369	2
YBL071C-B	II	89458	89556	-	99	0
YBR064W	II	367763	368191	+	429	0
YBR044C	II	324341	326059	-	1719	142
YBL068W	II	92414	93394	+	981	140
YBR216C	II	655576	657600	-	2025	90
YBR271W	II	744852	746111	+	1260	63
YBR084W	II	411054	413981	+	2928	344
YBR065C	II	368584	369678	-	1095	51
YBR245C	II	708150	711539	-	3390	200
YBR085W	II	415983	416906	+	924	25
YBR059C	II	356861	360187	-	3327	451
YBR068C	II	373861	375690	-	1830	1100
YBR285W	II	773922	774356	+	435	33
YBR041W	II	318266	320275	+	2010	460
YBR252W	II	722611	723054	+	444	70
YBL082C	II	69751	71127	-	1377	130
YBL002W	II	236492	236887	+	396	2250
YBL098W	II	39145	40527	+	1383	75
YBR117C	II	474392	476437	-	2046	49
YBR214W	II	651415	652998	+	1584	1056
YBR169C	II	573915	575996	-	2082	562
YBR207W	II	635146	636543	+	1398	129
YBR155W	II	549771	550928	+	1158	49
YBL106C	II	10847	13879	-	3033	74
YBR237W	II	691969	694518	+	2550	87
YBR193C	II	609082	609753	-	672	91
YBR149W	II	539987	541021	+	1035	1011
YBR013C	II	265492	265881	-	390	18
YBL063W	II	101886	105221	+	3336	107
YBL029C-A	II	164488	164772	-	285	274
YBR147W	II	536575	537465	+	891	395
YBR246W	II	711591	712754	+	1164	186
YBR002C	II	241708	242568	-	861	71
YBR023C	II	284428	287925	-	3498	173
YBL088C	II	51019	59382	-	8364	147
YBL064C	II	100371	101156	-	786	303
YBL007C	II	212632	216366	-	3735	751
tL(UAA)B2	II	347603	347686	+	84	0
YBL093C	II	44256	44918	-	663	112
YBL091C	II	47363	48628	-	1266	789
YBR142W	II	528317	530638	+	2322	116
YBR047W	II	331833	332360	+	528	54
YBR238C	II	695107	697302	-	2196	134
YBR067C	II	372103	372735	-	633	5170
YBR010W	II	256331	256741	+	411	708
YBL054W	II	117589	119166	+	1578	74
YBR209W	II	642583	642900	+	318	4
YBL060W	II	107932	109995	+	2064	55
YBR089W	II	425183	425782	+	600	0
YBR025C	II	290681	291865	-	1185	934
YBR040W	II	316968	317864	+	897	4
YBR230C	II;II	679549;680040	679942;680050	-;-	405	468
YBL027W	II;II	168423;168809	168424;169376	+;+	570	1224
YBL100C	II	36989	37303	-	315	85
YBR261C	II	734832	735530	-	699	166
YBR034C	II	304930	305976	-	1047	106
YBR101C	II	443821	444693	-	873	162
YBL010C	II	206107	206949	-	843	69
YBR053C	II	339675	340751	-	1077	345
YBL059C-A	II;II	110125;110506	110420;110539	-;-	330	24
YBR255C-A	II;II	726618;727012	726917;727074	-;-	363	105
YBL042C	II	138341	140260	-	1920	86
YBL039C	II	143989	145728	-	1740	136
YBR217W	II	657832	658392	+	561	58
YBR200W-A	II	622983	623147	+	165	1
YBL003C	II	235394	235792	-	399	572
YBR069C	II	376574	378433	-	1860	519
YBR056W-A	II	351255	351455	+	201	10
YBR009C	II	255373	255684	-	312	1149
YBL038W	II	146187	146885	+	699	112
YBR056C-B	II	351293	351451	-	159	0
YBR081C	II	401253	405251	-	3999	130
YBR007C	II	248806	251016	-	2211	82
YBR146W	II	535260	536096	+	837	312
YBR171W	II	578364	578984	+	621	170
YBL028C	II	167518	167838	-	321	42
YBR135W	II	504854	505306	+	453	77
YBR264C	II	737770	738369	-	600	34
YBR043C	II	321876	323945	-	2070	428
YBL059W	II;II	110594;110949	110879;111244	+;+	582	49
YBR131W	II	497163	499277	+	2115	33
YBR233W-A	II	684977	685261	+	285	18
YBR092C	II	427698	429101	-	1404	259
YBR126C	II	488905	490392	-	1488	1882
YBR057C	II	352193	353293	-	1101	147
YBR086C	II	420201	423041	-	2841	1162
YBR174C	II	582338	582652	-	315	0
snR56	II	88190	88277	+	88	3
YBR281C	II	764970	767606	-	2637	163
YBL103C	II	22076	23536	-	1461	131
tG(GCC)B	II	197629	197699	-	71	0
YBR159W	II	558685	559728	+	1044	400
YBR118W	II	477671	479047	+	1377	4045
YBL004W	II	227636	235117	+	7482	170
YBR163W	II	565723	567480	+	1758	202
YBL013W	II	202056	203261	+	1206	10
YBL112C	II	2582	2899	-	318	0
YBR231C	II	682179	683090	-	912	36
YBL066C	II	96669	100115	-	3447	105
YBR008C	II	252563	254209	-	1647	96
YBL015W	II	194122	195702	+	1581	259
YBR038W	II	311898	314789	+	2892	211
YBL018C	II;II	185998;186428	186352;186474	-;-	402	27
YBR253W	II	723270	723635	+	366	93
YBL068W-A	II	91794	92030	+	237	0
YBR058C	II	353672	356017	-	2346	202
YBL084C	II	67169	69445	-	2277	109
YBR224W	II	670125	670640	+	516	1
YBR077C	II	391805	392293	-	489	67
YBL087C	II;II	59822;60698	60193;60739	-;-	414	646
YBR098W	II	441515	443590	+	2076	46
YBR239C	II	698354	699943	-	1590	92
YBR168W	II	572371	573612	+	1242	99
YBL046W	II	132424	133749	+	1326	98
YBR003W	II	242809	244230	+	1422	146
YBR215W	II;II	653356;653453	653368;655317	+;+	1878	182
LSR1	II	680688	681862	-	1175	171
YBL025W	II	171481	171918	+	438	24
YBR105C	II	450881	451969	-	1089	394
YBR200W	II	620872	622527	+	1656	167
YBR190W	II	605966	606277	+	312	0
YBR248C	II	714807	716465	-	1659	360
YBR145W	II	533762	534817	+	1056	721
